Name,dD,dP,dH,R0,duplicate,hsp_flag_dd_low,hsp_flag_dd_high,hsp_flag_dp_negative,hsp_flag_dh_negative,hsp_flag_r_large,hsp_flag_nonpolar_check,name_clean,name_type,name_synonyms,source_uncertainty,CAS,cas_final,cas_valid,cas_source,pubchem_cid,inchikey,smiles_canonical,smiles_isomeric,smiles_valid,mol_formula,mw,name_iupac,xlogp,hbd_count,hba_count,bp_c,mp_c,density_g_ml,flash_point_c,vapor_pressure_mmhg,dielectric_constant,ghs_hazard_statements,ghs_pictograms,ghs_signal_word,flag_carcinogen,flag_reproductive_toxin,flag_flammable,flag_acutely_toxic,ich_q3c_class,ich_q3c_pde_mg_day,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,cf_alternative_parents,cf_classification_type,url_primary,url_source,score_cas,score_name_match,score_pubchem,score_smiles,score_crossref,score_properties,confidence_score,confidence_label,verify_inchikey_mismatch,verify_cas_conflict,verify_name_inconsistency,verify_formula_mismatch,verify_hsp_outlier,verify_classyfire_consistent,already_in_database,lookup_failed,needs_manual_review,processing_notes
"1,1,3,3-Tetramethoxypropane",15.0,7.1,6.8,,False,False,False,False,False,False,False,"1,1,3,3-Tetramethoxypropane",trivial_name,,False,102-52-3,102-52-3,True,original,66019.0,XHTYQFMRBQUCPX-UHFFFAOYSA-N,COC(CC(OC)OC)OC,,True,C7H16O4,164.2,"1,1,3,3-tetramethoxypropane",0.3,0.0,4.0,183.1,,,,,,H226; H315,Flammable; Irritant,Warning,False,False,True,False,Not listed,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Acetals,Hydrocarbon derivatives,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/66019,pubchem,1.0,1.0,1.0,1.0,1.0,0.75,0.988,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Diallyloxyethane",15.4,5.1,4.8,,False,False,False,False,False,False,False,"1,1-Diallyloxyethane",trivial_name,,False,20682-69-3,20682-69-3,True,original,225379.0,XFJWHICSGRNOKN-UHFFFAOYSA-N,CC(OCC=C)OCC=C,,True,C8H14O2,142.2,3-(1-prop-2-enoxyethoxy)prop-1-ene,1.7,0.0,2.0,,,,,,,,,,False,False,False,False,Not listed,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Acetals,Hydrocarbon derivatives,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/225379,pubchem,1.0,0.85,1.0,1.0,1.0,0.5,0.945,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dibromoethane",18.5,8.4,8.8,,False,False,False,False,False,False,False,"1,1-Dibromoethane",systematic_chemical,,False,557-91-5,557-91-5,True,original,11201.0,APQIUTYORBAGEZ-UHFFFAOYSA-N,CC(Br)Br,,True,C2H4Br2,187.86,"1,1-dibromoethane",2.3,0.0,0.0,109.5,,,,,,H301; H302; H311; H312; H315; H319; H331; H332; H335; H351,Acute Toxic; Irritant; Health Hazard,Danger,True,False,False,True,Not listed,,Organic compounds,Organohalogen compounds,Organobromides,,Organobromides,Hydrocarbon derivatives; Alkyl bromides,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/11201,pubchem,1.0,1.0,1.0,1.0,1.0,0.75,0.988,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dibromoethylene",16.2,4.8,7.0,,False,False,False,False,False,False,False,"1,1-Dibromoethylene",systematic_chemical,,False,593-92-0,593-92-0,True,original,11652.0,IWHJPYXAFGKABF-UHFFFAOYSA-N,BrC(Br)=C,,True,C2H2Br2,185.85,"1,1-dibromoethene",2.4,0.0,0.0,92.1,,,,,,,,,False,False,False,False,Not listed,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ketene acetals,Ketene acetals,Vinyl bromides; Bromoalkenes; Organobromides; Hydrocarbon derivatives,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/11652,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dichloro-1-Nitroethane",16.8,12.1,4.3,,False,False,False,False,False,False,False,"1,1-Dichloro-1-Nitroethane",systematic_chemical,,False,594-72-9,594-72-9,True,original,11674.0,OQOGEOLRYAOSKO-UHFFFAOYSA-N,CC(Cl)(Cl)[N+]([O-])=O,,True,C2H3Cl2NO2,143.95,"1,1-dichloro-1-nitroethane",1.6,0.0,2.0,123.6,,,,,,H301; H311; H331; H226; H302; H315; H370,Acute Toxic; Flammable; Irritant; Health Hazard,Danger,False,False,True,True,Not listed,,Organic compounds,"Organic 1,3-dipolar compounds","Allyl-type 1,3-dipolar organic compounds",Organic nitro compounds,C-nitro compounds,"Propargyl-type 1,3-dipolar organic compounds; Organic oxoazanium compounds; Organopnictogen compounds; Organonitrogen compounds; Organochlorides; Organic oxides; Hydrocarbon derivatives; Alkyl chlorides",full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/11674,pubchem,1.0,1.0,1.0,1.0,1.0,0.75,0.988,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dichloroacetone",17.1,7.6,5.4,,False,False,False,False,False,False,False,"1,1-Dichloroacetone",systematic_chemical,,False,513-88-2,513-88-2,True,original,10567.0,CSVFWMMPUJDVKH-UHFFFAOYSA-N,CC(=O)C(Cl)Cl,,True,C3H4Cl2O,126.97,"1,1-dichloropropan-2-one",1.3,0.0,1.0,120.1,,,,,,H226; H301; H302; H314; H318; H319; H400; H410,Flammable; Corrosive; Acute Toxic; Irritant; Environmental Hazard,Danger,False,False,True,True,Not listed,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Alpha-chloroketones,Organochlorides; Organic oxides; Hydrocarbon derivatives; Alkyl chlorides,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/10567,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dichloroethane",16.5,7.8,3.0,,False,False,False,False,False,False,False,"1,1-Dichloroethane",systematic_chemical,,False,75-34-3,75-34-3,True,original,6365.0,SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl,,True,C2H4Cl2,98.96,"1,1-dichloroethane",1.9,0.0,0.0,,-96.6,,,,,H225; H302; H319; H335; H412; H332; H315; H336; H341; H370; H402; H411; H333; H373,Flammable; Irritant; Health Hazard; Environmental Hazard,Danger,False,False,True,False,Not listed,,Organic compounds,Organohalogen compounds,Organochlorides,,Organochlorides,Hydrocarbon derivatives; Alkyl chlorides,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/6365,pubchem,1.0,1.0,1.0,1.0,1.0,0.75,0.988,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dichloroethylene",16.4,5.2,2.4,,False,False,False,False,False,False,False,"1,1-Dichloroethylene",systematic_chemical,,False,75-35-4,75-35-4,True,original,6366.0,LGXVIGDEPROXKC-UHFFFAOYSA-N,ClC(Cl)=C,,True,C2H2Cl2,96.94,"1,1-dichloroethene",2.3,0.0,0.0,31.4,,,,,,H224; H332; H351; H302; H319; H372; H412; H341; H350; H401; H336; H361; H370; H305; H331; H373; H301; H315,Flammable; Irritant; Health Hazard; Acute Toxic,Danger,True,True,True,True,1,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ketene acetals,Ketene acetals,Vinyl chlorides; Chloroalkenes; Organochlorides; Hydrocarbon derivatives,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/6366,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dichloropropane",16.1,7.8,3.5,,False,False,False,False,False,False,False,"1,1-Dichloropropane",systematic_chemical,,False,78-99-9,78-99-9,True,original,6573.0,WIHMGGWNMISDNJ-UHFFFAOYSA-N,CCC(Cl)Cl,,True,C3H6Cl2,112.98,"1,1-dichloropropane",2.5,0.0,0.0,88.1,,,,,,H225; H315; H319; H332; H335; H351; H402; H412,Flammable; Irritant; Health Hazard,Danger,True,False,True,False,Not listed,,Organic compounds,Organohalogen compounds,Organochlorides,,Organochlorides,Hydrocarbon derivatives; Alkyl chlorides,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/6573,pubchem,1.0,1.0,1.0,1.0,1.0,0.75,0.988,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dichloropropene",16.9,6.7,2.9,,False,False,False,False,False,False,False,"1,1-Dichloropropene",systematic_chemical,,False,563-58-6,563-58-6,True,original,11245.0,ZAIDIVBQUMFXEC-UHFFFAOYSA-N,CC=C(Cl)Cl,,True,C3H4Cl2,110.97,"1,1-dichloroprop-1-ene",2.6,0.0,0.0,76.6,,,,,,H225; H301; H412,Flammable; Acute Toxic,Danger,False,False,True,True,Not listed,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ketene acetals,Ketene acetals,Vinyl chlorides; Chloroalkenes; Organochlorides; Hydrocarbon derivatives,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/11245,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Diethoxy Butane",15.4,4.9,4.6,,False,False,False,False,False,False,False,"1,1-Diethoxy Butane",trivial_name,,False,3658-95-5,3658-95-5,True,original,77225.0,UVHXZFGCCJLFMX-UHFFFAOYSA-N,CCCC(OCC)OCC,,True,C8H18O2,146.23,"1,1-diethoxybutane",2.1,0.0,2.0,143.1,,,,,,H225; H226; H315; H317; H319,Flammable; Irritant,Danger,False,False,True,False,Not listed,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Acetals,Hydrocarbon derivatives,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/77225,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Diethoxy Ethane",15.0,3.4,4.0,,False,False,False,False,False,False,False,"1,1-Diethoxy Ethane",trivial_name,,False,105-57-7,105-57-7,True,original,7765.0,DHKHKXVYLBGOIT-UHFFFAOYSA-N,CCOC(C)OCC,,True,C6H14O2,118.17,"1,1-diethoxyethane",0.8,0.0,2.0,,,,,,,H225; H315; H319; H318; H320; H335; H336,Flammable; Irritant; Corrosive,Danger,False,False,True,False,Not listed,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Acetals,Hydrocarbon derivatives,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/7765,pubchem,1.0,0.85,1.0,1.0,1.0,0.5,0.945,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Difluoroethane",14.9,9.3,2.9,,False,False,False,False,False,False,False,"1,1-Difluoroethane",systematic_chemical,,False,75-37-6,75-37-6,True,original,6368.0,NPNPZTNLOVBDOC-UHFFFAOYSA-N,CC(F)F,,True,C2H4F2,66.05,"1,1-difluoroethane",1.4,0.0,2.0,-24.7,,,,,,H220; H280; H336,Flammable; Compressed Gas; Irritant,Danger,False,False,False,False,Not listed,,Organic compounds,Organohalogen compounds,Organofluorides,,Organofluorides,Hydrofluorocarbons; Hydrocarbon derivatives; Alkyl fluorides,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/6368,pubchem,1.0,1.0,1.0,1.0,1.0,0.75,0.988,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Difluoroethylene",15.0,5.7,3.6,,False,False,False,False,False,False,False,"1,1-Difluoroethylene",systematic_chemical,,False,75-38-7,75-38-7,True,original,6369.0,BQCIDUSAKPWEOX-UHFFFAOYSA-N,FC(F)=C,,True,C2H2F2,64.03,"1,1-difluoroethene",1.3,0.0,2.0,-82.9,,,,,,H220; H230; H280; H340; H350; H336,Flammable; Compressed Gas; Health Hazard; Irritant,Danger,True,False,False,False,Not listed,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ketene acetals,Ketene acetals,Vinyl fluorides; Fluoroalkenes; Organofluorides; Hydrofluorocarbons; Hydrocarbon derivatives,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/6369,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dimethoxy Ethane",15.1,4.9,4.9,,False,False,False,False,False,False,False,"1,1-Dimethoxy Ethane",trivial_name,,False,534-15-6,534-15-6,True,original,10795.0,SPEUIVXLLWOEMJ-UHFFFAOYSA-N,COC(C)OC,,True,C4H10O2,90.12,"1,1-dimethoxyethane",0.5,0.0,2.0,62.9,,,,,,H225,Flammable,Danger,False,False,True,False,Not listed,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Acetals,Hydrocarbon derivatives,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/10795,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dimethyl Hydrazine",15.3,5.9,11.0,,False,False,False,False,False,False,False,"1,1-Dimethyl Hydrazine",systematic_chemical,,False,57-14-7,57-14-7,True,original,5976.0,RHUYHJGZWVXEHW-UHFFFAOYSA-N,CN(C)N,,True,C2H8N2,60.1,"1,1-dimethylhydrazine",-0.5,1.0,2.0,64.0,-57.1,,,,,H225; H301; H314; H331; H350; H411; H311; H335; H317; H312; H315; H319; H330; H341; H351; H370; H372; H340; H361,Flammable; Corrosive; Acute Toxic; Health Hazard; Environmental Hazard; Irritant,Danger,True,True,True,True,Not listed,,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Hydrazines and derivatives,Alkylhydrazines,Organopnictogen compounds; Hydrocarbon derivatives,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/5976,pubchem,1.0,0.85,1.0,1.0,1.0,1.0,0.97,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,2,3,4-Tetramethylbenzene",18.8,0.5,0.5,,False,False,False,False,False,False,True,"1,2,3,4-Tetramethylbenzene",systematic_chemical,,False,488-23-3,488-23-3,True,original,10263.0,UOHMMEJUHBCKEE-UHFFFAOYSA-N,Cc1ccc(C)c(C)c1C,,True,C10H14,134.22,"1,2,3,4-tetramethylbenzene",4.0,0.0,0.0,,-6.4,,,,,H315; H319; H335,Irritant,Warning,False,False,False,False,Not listed,,Organic compounds,Benzenoids,Benzene and substituted derivatives,,Benzene and substituted derivatives,Aromatic hydrocarbons; Unsaturated hydrocarbons,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/10263,pubchem,1.0,1.0,1.0,1.0,1.0,0.75,0.988,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,2,3,5-Tetramethylbenzene",18.6,0.5,0.5,,False,False,False,False,False,False,True,"1,2,3,5-Tetramethylbenzene",systematic_chemical,,False,527-53-7,527-53-7,True,original,10695.0,BFIMMTCNYPIMRN-UHFFFAOYSA-N,Cc1cc(C)c(C)c(C)c1,,True,C10H14,134.22,"1,2,3,5-tetramethylbenzene",4.0,0.0,0.0,,,,,,,H315; H319,Irritant,Warning,False,False,False,False,Not listed,,Organic compounds,Benzenoids,Benzene and substituted derivatives,,Benzene and substituted derivatives,Aromatic hydrocarbons; Unsaturated hydrocarbons,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/10695,pubchem,1.0,1.0,1.0,1.0,1.0,0.5,0.975,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,2,3-Benzotriazole",18.7,15.6,12.4,,False,False,False,False,False,False,False,"1,2,3-Benzotriazole",trivial_name,,False,95-14-7,95-14-7,True,original,7220.0,QRUDEWIWKLJBPS-UHFFFAOYSA-N,[nH]1nnc2ccccc12,,True,C6H5N3,119.12,2H-benzotriazole,1.0,1.0,2.0,,,,,,,H411; H302; H319; H332; H412; H336; H371; H402,Environmental Hazard; Irritant; Health Hazard,Warning,False,False,False,False,Not listed,,Organic compounds,Organoheterocyclic compounds,Benzotriazoles,,Benzotriazoles,Benzenoids; Triazoles; Heteroaromatic compounds; Azacyclic compounds; Organopnictogen compounds; Organonitrogen compounds; Hydrocarbon derivatives,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/7220,pubchem,1.0,0.85,1.0,1.0,1.0,0.5,0.945,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,2,3-Triazole",20.7,8.8,15.0,,False,False,False,False,False,False,False,"1,2,3-Triazole",trivial_name,,False,288-36-8,288-36-8,True,original,67516.0,QWENRTYMTSOGBR-UHFFFAOYSA-N,[nH]1ccnn1,,True,C2H3N3,69.07,2H-triazole,-0.3,1.0,2.0,,,,,,,H315; H319; H335,Irritant,Warning,False,False,False,False,Not listed,,Organic compounds,Organoheterocyclic compounds,Azoles,Triazoles,Triazoles,Heteroaromatic compounds; Azacyclic compounds; Organopnictogen compounds; Organonitrogen compounds; Hydrocarbon derivatives,full_molecule,https://pubchem.ncbi.nlm.nih.gov/compound/67516,pubchem,1.0,0.85,1.0,1.0,1.0,0.5,0.945,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
